"id","species_authority","canonical_sciname","image","notes","authority_year","parens_auth_genus","internal_id","major_type","genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","simple_linnean_group","linnean_order","source","species","taxon_credit","taxon_credit_date","common_name","major_subtype","linnean_family","simple_linnean_subgroup"
"151","","Kobus leche","","","","0","11033","","kobus","","0","","","","eutheria","artiodactyla","iucn","leche","","","","","bovidae","cervoid ruminants"
"152","","Kobus megaceros","","","","0","11034","","kobus","","0","","","","eutheria","artiodactyla","iucn","megaceros","","","","","bovidae","cervoid ruminants"
"153","","Kobus vardonii","","","","0","11037","","kobus","","0","","","","eutheria","artiodactyla","iucn","vardonii","","","","","bovidae","cervoid ruminants"
"154","","Litocranius walleri","","","","0","12142","","litocranius","","0","","","","eutheria","artiodactyla","iucn","walleri","","","","","bovidae","cervoid ruminants"
"155","","Madoqua guentheri","","","","0","12669","","madoqua","","0","","","","eutheria","artiodactyla","iucn","guentheri","","","","","bovidae","cervoid ruminants"
"156","","Madoqua kirkii","","","","0","12670","","madoqua","","0","","","","eutheria","artiodactyla","iucn","kirkii","","","","","bovidae","cervoid ruminants"
"157","","Madoqua piacentinii","","","","0","12667","","madoqua","","0","","","","eutheria","artiodactyla","iucn","piacentinii","","","","","bovidae","cervoid ruminants"
"158","","Madoqua saltiana","","","","0","12668","","madoqua","","0","","","","eutheria","artiodactyla","iucn","saltiana","","","","","bovidae","cervoid ruminants"
"159","","Myotragus balearicus","","","","0","300000025","","myotragus","","0","","","","eutheria","artiodactyla","newspext","balearicus","","","","","bovidae","cervoid ruminants"
"160","","Naemorhedus baileyi","","","","0","14294","","naemorhedus","","0","","","","eutheria","artiodactyla","iucn","baileyi","","","","","bovidae","cervoid ruminants"
"161","","Naemorhedus caudatus","","","","0","14295","","naemorhedus","","0","","","","eutheria","artiodactyla","iucn","caudatus","","","","","bovidae","cervoid ruminants"
"162","","Naemorhedus goral","","","","0","14296","","naemorhedus","","0","","","","eutheria","artiodactyla","iucn","goral","","","","","bovidae","cervoid ruminants"
"163","","Naemorhedus griseus","","","","0","14303","","naemorhedus","","0","","","","eutheria","artiodactyla","iucn","griseus","","","","","bovidae","cervoid ruminants"
"164","","Nanger dama","","","","0","8968","","nanger","","0","","","","eutheria","artiodactyla","iucn","dama","","","","","bovidae","cervoid ruminants"
"165","","Nanger granti","","","","0","8971","","nanger","","0","","","","eutheria","artiodactyla","iucn","granti","","","","","bovidae","cervoid ruminants"
"166","","Nanger soemmerringii","","","","0","63541","","nanger","","0","","","","eutheria","artiodactyla","iucn","soemmerringii","","","","","bovidae","cervoid ruminants"
"167","","Neotragus batesi","","","","0","14603","","neotragus","","0","","","","eutheria","artiodactyla","iucn","batesi","","","","","bovidae","cervoid ruminants"
"168","","Neotragus pygmaeus","","","","0","14602","","neotragus","","0","","","","eutheria","artiodactyla","iucn","pygmaeus","","","","","bovidae","cervoid ruminants"
"169","","Nesotragus moschatus","","","","0","14604","","nesotragus","","0","","","","eutheria","artiodactyla","iucn","moschatus","","","","","bovidae","cervoid ruminants"
"170","","Nilgiritragus hylocrius","","","","0","9917","","nilgiritragus","","0","","","","eutheria","artiodactyla","iucn","hylocrius","","","","","bovidae","cervoid ruminants"
"171","","Oreamnos americanus","","","","0","42680","","oreamnos","","0","","","","eutheria","artiodactyla","iucn","americanus","","","","","bovidae","cervoid ruminants"
"172","","Oreamnos harringtoni","","","","0","300000027","","oreamnos","","0","","","","eutheria","artiodactyla","newspext","harringtoni","","","","","bovidae","cervoid ruminants"
"173","","Oreotragus oreotragus","","","","0","15485","","oreotragus","","0","","","","eutheria","artiodactyla","iucn","oreotragus","","","","","bovidae","cervoid ruminants"
"174","","Oryx beisa","","","","0","15571","","oryx","","0","","","","eutheria","artiodactyla","iucn","beisa","","","","","bovidae","cervoid ruminants"
