Source	ID	Order	Family	Genus	Species	SciName
IUCN	2541	RODENTIA	MURIDAE	Bandicota	indica	Bandicota_indica
IUCN	2542	RODENTIA	MURIDAE	Bandicota	savilei	Bandicota_savilei
IUCN	2553	CHIROPTERA	VESPERTILIONIDAE	Barbastella	barbastellus	Barbastella_barbastellus
IUCN	2554	CHIROPTERA	VESPERTILIONIDAE	Barbastella	leucomelas	Barbastella_leucomelas
IUCN	2609	CARNIVORA	PROCYONIDAE	Bassaricyon	gabbii	Bassaricyon_gabbii
IUCN	2613	CARNIVORA	PROCYONIDAE	Bassariscus	sumichrasti	Bassariscus_sumichrasti
IUCN	2619	RODENTIA	BATHYERGIDAE	Bathyergus	janetta	Bathyergus_janetta
IUCN	2620	RODENTIA	BATHYERGIDAE	Bathyergus	suillus	Bathyergus_suillus
IUCN	2641	RODENTIA	MURIDAE	Batomys	granti	Batomys_granti
IUCN	2642	RODENTIA	MURIDAE	Batomys	dentatus	Batomys_dentatus
IUCN	2643	RODENTIA	MURIDAE	Batomys	salomonseni	Batomys_salomonseni
IUCN	2675	CARNIVORA	HERPESTIDAE	Bdeogale	jacksoni	Bdeogale_jacksoni
IUCN	2676	RODENTIA	NESOMYIDAE	Beamys	hindei	Beamys_hindei
IUCN	2756	RODENTIA	SCIURIDAE	Belomys	pearsonii	Belomys_pearsonii
IUCN	2762	ARTIODACTYLA	ZIPHIIDAE	Berardius	arnuxii	Berardius_arnuxii
IUCN	2763	ARTIODACTYLA	ZIPHIIDAE	Berardius	bairdii	Berardius_bairdii
IUCN	2767	RODENTIA	MURIDAE	Berylmys	berdmorei	Berylmys_berdmorei
IUCN	2768	RODENTIA	MURIDAE	Berylmys	bowersi	Berylmys_bowersi
IUCN	2769	RODENTIA	MURIDAE	Berylmys	mackenziei	Berylmys_mackenziei
IUCN	2770	RODENTIA	MURIDAE	Berylmys	manipulus	Berylmys_manipulus
IUCN	2783	DIPROTODONTIA	POTOROIDAE	Bettongia	gaimardi	Bettongia_gaimardi
IUCN	2784	DIPROTODONTIA	POTOROIDAE	Bettongia	lesueur	Bettongia_lesueur
IUCN	2785	DIPROTODONTIA	POTOROIDAE	Bettongia	penicillata	Bettongia_penicillata
IUCN	2787	DIPROTODONTIA	POTOROIDAE	Bettongia	tropica	Bettongia_tropica
IUCN	2801	RODENTIA	CRICETIDAE	Bibimys	chacoensis	Bibimys_chacoensis
IUCN	2802	RODENTIA	CRICETIDAE	Bibimys	labiosus	Bibimys_labiosus
IUCN	2803	RODENTIA	CRICETIDAE	Bibimys	torresi	Bibimys_torresi
IUCN	2814	ARTIODACTYLA	BOVIDAE	Bison	bonasus	Bison_bonasus
IUCN	2815	ARTIODACTYLA	BOVIDAE	Bison	bison	Bison_bison
IUCN	2816	RODENTIA	SCIURIDAE	Biswamoyopterus	biswasi	Biswamoyopterus_biswasi
IUCN	2823	RODENTIA	CRICETIDAE	Blanfordimys	afghanus	Blanfordimys_afghanus
IUCN	2824	RODENTIA	CRICETIDAE	Blanfordimys	bucharensis	Blanfordimys_bucharensis
IUCN	2825	EULIPOTYPHLA	SORICIDAE	Blarinella	wardi	Blarinella_wardi
IUCN	2827	RODENTIA	CRICETIDAE	Blarinomys	breviceps	Blarinomys_breviceps
IUCN	2828	ARTIODACTYLA	CERVIDAE	Blastocerus	dichotomus	Blastocerus_dichotomus
IUCN	2857	RODENTIA	CRICETIDAE	Necromys	amoenus	Necromys_amoenus
IUCN	2858	RODENTIA	CRICETIDAE	Necromys	lactens	Necromys_lactens
IUCN	2859	RODENTIA	CRICETIDAE	Necromys	lasiurus	Necromys_lasiurus
IUCN	2860	RODENTIA	CRICETIDAE	Necromys	obscurus	Necromys_obscurus
IUCN	2861	RODENTIA	CRICETIDAE	Necromys	punctulatus	Necromys_punctulatus
IUCN	2862	RODENTIA	CRICETIDAE	Necromys	temchuki	Necromys_temchuki
IUCN	2885	RODENTIA	ECHIMYIDAE	Boromys	offella	Boromys_offella
IUCN	2886	RODENTIA	ECHIMYIDAE	Boromys	torrei	Boromys_torrei
IUCN	2888	ARTIODACTYLA	BOVIDAE	Bos	javanicus	Bos_javanicus
IUCN	2890	ARTIODACTYLA	BOVIDAE	Bos	sauveli	Bos_sauveli
IUCN	2891	ARTIODACTYLA	BOVIDAE	Bos	gaurus	Bos_gaurus
IUCN	2892	ARTIODACTYLA	BOVIDAE	Bos	mutus	Bos_mutus
IUCN	2893	ARTIODACTYLA	BOVIDAE	Boselaphus	tragocamelus	Boselaphus_tragocamelus
IUCN	2957	RODENTIA	MURIDAE	Brachiones	przewalskii	Brachiones_przewalskii
IUCN	2963	LAGOMORPHA	LEPORIDAE	Brachylagus	idahoensis	Brachylagus_idahoensis
IUCN	2982	CHIROPTERA	PHYLLOSTOMIDAE	Brachyphylla	cavernarum	Brachyphylla_cavernarum
IUCN	2983	CHIROPTERA	PHYLLOSTOMIDAE	Brachyphylla	nana	Brachyphylla_nana
IUCN	2991	RODENTIA	NESOMYIDAE	Brachytarsomys	albicauda	Brachytarsomys_albicauda
IUCN	2993	PRIMATES	ATELIDAE	Brachyteles	arachnoides	Brachyteles_arachnoides
IUCN	2994	PRIMATES	ATELIDAE	Brachyteles	hypoxanthus	Brachyteles_hypoxanthus
IUCN	2997	RODENTIA	NESOMYIDAE	Brachyuromys	betsileoensis	Brachyuromys_betsileoensis
IUCN	2998	RODENTIA	NESOMYIDAE	Brachyuromys	ramirohitra	Brachyuromys_ramirohitra
IUCN	3036	PILOSA	BRADYPODIDAE	Bradypus	torquatus	Bradypus_torquatus
IUCN	3037	PILOSA	BRADYPODIDAE	Bradypus	tridactylus	Bradypus_tridactylus
IUCN	3038	PILOSA	BRADYPODIDAE	Bradypus	variegatus	Bradypus_variegatus
IUCN	3121	RODENTIA	ECHIMYIDAE	Brotomys	voratus	Brotomys_voratus
IUCN	3126	ARTIODACTYLA	BOVIDAE	Bubalus	depressicornis	Bubalus_depressicornis
IUCN	3127	ARTIODACTYLA	BOVIDAE	Bubalus	mindorensis	Bubalus_mindorensis
IUCN	3128	ARTIODACTYLA	BOVIDAE	Bubalus	quarlesi	Bubalus_quarlesi
IUCN	3129	ARTIODACTYLA	BOVIDAE	Bubalus	arnee	Bubalus_arnee
IUCN	3160	ARTIODACTYLA	BOVIDAE	Budorcas	taxicolor	Budorcas_taxicolor
IUCN	3322	RODENTIA	MURIDAE	Bullimus	bagobus	Bullimus_bagobus
IUCN	3323	RODENTIA	MURIDAE	Bullimus	luzonicus	Bullimus_luzonicus
IUCN	3326	LAGOMORPHA	LEPORIDAE	Bunolagus	monticularis	Bunolagus_monticularis
IUCN	3327	RODENTIA	MURIDAE	Bunomys	andrewsi	Bunomys_andrewsi
IUCN	3328	RODENTIA	MURIDAE	Bunomys	chrysocomus	Bunomys_chrysocomus
IUCN	3329	RODENTIA	MURIDAE	Bunomys	coelestis	Bunomys_coelestis
