image,deprecated_scientific,common_name,simple_linnean_group,simple_linnean_subgroup,linnean_order,linnean_family,notes,genus,genus_authority,species,species_authority,subspecies,canonical_sciname,authority_year,major_type,major_subtype,taxon_author,taxon_credit,taxon_credit_date,parens_auth_genus,parens_auth_species,source,internal_id
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,saudiya,,,Gazella_saudiya,,,,,,,FALSE,FALSE,IUCN,8980
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,spekei,,,Gazella_spekei,,,,,,,FALSE,FALSE,IUCN,8975
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Gazella,,subgutturosa,,,Gazella_subgutturosa,,,,,,,FALSE,FALSE,IUCN,8976
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Hemitragus,,jemlahicus,,,Hemitragus_jemlahicus,,,,,,,FALSE,FALSE,IUCN,9919
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Hippotragus,,equinus,,,Hippotragus_equinus,,,,,,,FALSE,FALSE,IUCN,10167
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Hippotragus,,leucophaeus,,,Hippotragus_leucophaeus,,,,,,,FALSE,FALSE,IUCN,10168
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Hippotragus,,niger,,,Hippotragus_niger,,,,,,,FALSE,FALSE,IUCN,10170
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Kobus,,ellipsiprymnus,,,Kobus_ellipsiprymnus,,,,,,,FALSE,FALSE,IUCN,11035
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Kobus,,kob,,,Kobus_kob,,,,,,,FALSE,FALSE,IUCN,11036
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Kobus,,leche,,,Kobus_leche,,,,,,,FALSE,FALSE,IUCN,11033
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Kobus,,megaceros,,,Kobus_megaceros,,,,,,,FALSE,FALSE,IUCN,11034
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Kobus,,vardonii,,,Kobus_vardonii,,,,,,,FALSE,FALSE,IUCN,11037
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Litocranius,,walleri,,,Litocranius_walleri,,,,,,,FALSE,FALSE,IUCN,12142
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Madoqua,,guentheri,,,Madoqua_guentheri,,,,,,,FALSE,FALSE,IUCN,12669
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Madoqua,,kirkii,,,Madoqua_kirkii,,,,,,,FALSE,FALSE,IUCN,12670
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Madoqua,,piacentinii,,,Madoqua_piacentinii,,,,,,,FALSE,FALSE,IUCN,12667
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Madoqua,,saltiana,,,Madoqua_saltiana,,,,,,,FALSE,FALSE,IUCN,12668
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Myotragus,,balearicus,,,Myotragus_balearicus,,,,,,,FALSE,FALSE,newSpExt,300000025
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Naemorhedus,,baileyi,,,Naemorhedus_baileyi,,,,,,,FALSE,FALSE,IUCN,14294
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Naemorhedus,,caudatus,,,Naemorhedus_caudatus,,,,,,,FALSE,FALSE,IUCN,14295
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Naemorhedus,,goral,,,Naemorhedus_goral,,,,,,,FALSE,FALSE,IUCN,14296
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Naemorhedus,,griseus,,,Naemorhedus_griseus,,,,,,,FALSE,FALSE,IUCN,14303
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Nanger,,dama,,,Nanger_dama,,,,,,,FALSE,FALSE,IUCN,8968
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Nanger,,granti,,,Nanger_granti,,,,,,,FALSE,FALSE,IUCN,8971
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Nanger,,soemmerringii,,,Nanger_soemmerringii,,,,,,,FALSE,FALSE,IUCN,63541
,,,eutheria,,ARTIODACTYLA,BOVIDAE,,Neotragus,,batesi,,,Neotragus_batesi,,,,,,,FALSE,FALSE,IUCN,14603
